"id"         ,"mark"         ,"model"             ,"fuel"             ,"gearbox" ,"mileage"  ,"year" ,"type"      ,"drive"       ,"hp"  ,"color"   ,"motorsize" ,"first_in_traffic" ,"region"         ,"price"
"1400648972" ,"Renault"       ,"Clio"               ,"Bensin"              ,"Manuell"   ,"5 387"   ,"2016"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"90"  ,"Svart"  ,"898"          ,"2016-09-21"     ,"Dalarna"        ,98000
"1400655271" ,"Opel"          ,"Insignia"           ,"Diesel"              ,"Manuell"   ,"28 203"  ,"2016"     ,"Kombi"       ,"Tvåhjulsdriven" ,"136" ,"Grå"    ,"1598"         ,"2016-07-15"     ,"Uppsala"        ,79500
"1400655492" ,"Volkswagen"    ,"Golf"               ,"Diesel"              ,"Automat"   ,"19 646"  ,"2014"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"105" ,"Vit"    ,"1598"         ,"2014-05-09"     ,"Skåne"          ,109000
"1400633776" ,"Volkswagen"    ,"Passat"             ,"Diesel"              ,"Manuell"   ,"14 546"  ,"2015"     ,"Kombi"       ,"Fyrhjulsdriven" ,"141" ,"Brun"   ,"1968"         ,"2014-07-15"     ,"Västernorrland" ,119000
"1400654997" ,"Volkswagen"    ,"Passat"             ,"Diesel"              ,"Automat"   ,"17 758"  ,"2021"     ,"Kombi"       ,"Fyrhjulsdriven" ,"200" ,"Vit"    ,"1968"         ,"2020-12-16"     ,"Dalarna"        ,225000
"1400655478" ,"BMW"           ,"325"                ,"Bensin"              ,"Automat"   ,"23 191"  ,"2007"     ,"Coupé"       ,"Tvåhjulsdriven" ,"218" ,"Grå"    ,"2497"         ,"2006-11-28"     ,"Stockholm"      ,75000
"1400655479" ,"Mercedes-Benz" ,"GLC"                ,"Miljöbränsle/Hybrid" ,"Automat"   ,"14 879"  ,"2018"     ,"SUV"         ,"Fyrhjulsdriven" ,"328" ,"Svart"  ,"1991"         ,"2017-10-25"     ,"Stockholm"      ,345000
"1400559013" ,"Audi"          ,"S4"                 ,"Diesel"              ,"Automat"   ,"5 200"   ,"2020"     ,"Kombi"       ,"Fyrhjulsdriven" ,"347" ,"Röd"    ,"2967"         ,"2020-04-09"     ,"Uppsala"        ,480000
"1400537976" ,"Mazda"         ,"6"                  ,"Diesel"              ,"Automat"   ,"19 000"  ,"2014"     ,"Sedan"       ,"Tvåhjulsdriven" ,"150" ,"Svart"  ,"2191"         ,"2021-01-24"     ,"Stockholm"      ,90000
"1400497251" ,"Volvo"         ,"C70"                ,"Diesel"              ,"Automat"   ,"20 269"  ,"2008"     ,"Cab"         ,"Tvåhjulsdriven" ,"180" ,"Blå"    ,"2400"         ,"2016-01-14"     ,"Skaraborg"      ,140000
"1400619853" ,"Volvo"         ,"V90"                ,"Diesel"              ,"Automat"   ,"17 200"  ,"2018"     ,"Kombi"       ,"Tvåhjulsdriven" ,"191" ,"Silver" ,"1969"         ,"2017-11-01"     ,"Skåne"          ,205000
"1400583954" ,"MINI"          ,"One"                ,"Bensin"              ,"Manuell"   ,"9 360"   ,"2015"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"102" ,"Vit"    ,"1233"         ,"2015-05-07"     ,"Skåne"          ,104000
"1400602974" ,"MINI"          ,"Countryman"         ,"Miljöbränsle/Hybrid" ,"Automat"   ,"2 731"   ,"2020"     ,"Kombi"       ,"Fyrhjulsdriven" ,"225" ,"Grå"    ,"1499"         ,"2020-05-28"     ,"Stockholm"      ,300000
"1400647252" ,"Volkswagen"    ,"Passat"             ,"Bensin"              ,"Automat"   ,"22 900"  ,"2006"     ,"Kombi"       ,"Tvåhjulsdriven" ,"150" ,"Grå"    ,"1984"         ,"2006-02-17"     ,"Stockholm"      ,32000
"1400655398" ,"Volkswagen"    ,"Golf"               ,"Bensin"              ,"Manuell"   ,"16 381"  ,"2012"     ,"Halvkombi"   ,"Fyrhjulsdriven" ,"271" ,"Vit"    ,"1984"         ,"2012-05-18"     ,"Göteborg"       ,160000
"1400588219" ,"Volvo"         ,"V50"                ,"Bensin"              ,"Manuell"   ,"22 484"  ,"2009"     ,"Kombi"       ,"Tvåhjulsdriven" ,"126" ,"Grå"    ,"1798"         ,"2008-10-17"     ,"Stockholm"      ,32900
"1400655391" ,"Nissan"        ,"Qashqai"            ,"Bensin"              ,"Automat"   ,"7 490"   ,"2018"     ,"SUV"         ,"Tvåhjulsdriven" ,"116" ,"Grå"    ,"1197"         ,"2018-08-16"     ,"Stockholm"      ,184000
