"Id"         ,"Märke"         ,"Modell"             ,"Bränsle"             ,"Växellåda" ,"Miltal"  ,"Modellår" ,"Biltyp"      ,"Drivning"       ,"HK"  ,"Färg"   ,"Motorstorlek" ,"Datum i trafik" ,"Region"         ,"Pris"
"1400488882" ,"Jaguar"        ,"XE"                 ,"Bensin"              ,"Automat"   ,"9 700"   ,"2019"     ,"Sedan"       ,"Tvåhjulsdriven" ,"200" ,"Svart"  ,"1999"         ,"2018-09-05"     ,"Stockholm"      ,210000
"1400633209" ,"Skoda"         ,"Superb"             ,"Diesel"              ,"Automat"   ,"10 070"  ,"2017"     ,"Kombi"       ,"Fyrhjulsdriven" ,"191" ,"Vit"    ,"1968"         ,"2016-07-18"     ,"Södermanland"   ,215000
"1400620352" ,"Volvo"         ,"V70"                ,"Diesel"              ,"Manuell"   ,"18 298"  ,"2015"     ,"Kombi"       ,"Tvåhjulsdriven" ,"181" ,"Röd"    ,"1969"         ,"2014-07-18"     ,"Stockholm"      ,135000
"1400633282" ,"Volkswagen"    ,"Golf"               ,"Miljöbränsle/Hybrid" ,"Manuell"   ,"13 000"  ,"2011"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"102" ,"Grå"    ,"1595"         ,"2011-02-03"     ,"Kalmar"         ,85000
"1400624369" ,"Polestar"      ,"2"                  ,"El"                  ,"Automat"   ,"6 929"   ,"2021"     ,"Halvkombi"   ,"Fyrhjulsdriven" ,"408" ,"Vit"    ,NA             ,"2020-09-03"     ,"Skåne"          ,389000
"1400633176" ,"Volkswagen"    ,"Golf"               ,"Miljöbränsle/Hybrid" ,"Manuell"   ,"14 747"  ,"2016"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"111" ,"Grå"    ,"1395"         ,"2016-07-08"     ,"Stockholm"      ,109900
"1400633192" ,"Volvo"         ,"S60"                ,"Diesel"              ,"Automat"   ,"24 289"  ,"2014"     ,"Sedan"       ,"Tvåhjulsdriven" ,"116" ,"Grå"    ,"1560"         ,"2021-04-08"     ,"Skåne"          ,79900
"1400467445" ,"Volkswagen"    ,"Golf"               ,"Bensin"              ,"Automat"   ,"18 335"  ,"2018"     ,"Kombi"       ,"Tvåhjulsdriven" ,"111" ,"Vit"    ,"999"          ,"2018-06-01"     ,"Stockholm"      ,139000
"1400633131" ,"Kia"           ,"Optima"             ,"Miljöbränsle/Hybrid" ,"Automat"   ,"7 300"   ,"2019"     ,"Kombi"       ,"Tvåhjulsdriven" ,"206" ,"Blå"    ,"1999"         ,"2019-07-01"     ,"Göteborg"       ,223000
"1400475393" ,"Suzuki"        ,NA                   ,"Bensin"              ,"Manuell"   ,"590"     ,"2023"     ,"SUV"         ,"Fyrhjulsdriven" ,"102" ,"Grön"   ,"1462"         ,"2023-05-13"     ,"Värmland"       ,261000
"1400633011" ,"Audi"          ,"A4"                 ,"Diesel"              ,"Automat"   ,"17 960"  ,"2016"     ,"Kombi"       ,"Fyrhjulsdriven" ,"191" ,"Vit"    ,"1968"         ,"2016-04-08"     ,"Kalmar"         ,169900
"1400447993" ,"Volkswagen"    ,"Golf"               ,"Diesel"              ,"Manuell"   ,"13 400"  ,"2011"     ,"Kombi"       ,"Tvåhjulsdriven" ,"105" ,"Vit"    ,"1598"         ,"2011-08-30"     ,"Skåne"          ,64900
"1400633069" ,NA              ,NA                   ,NA                    ,NA          ,NA        ,NA         ,NA            ,NA               ,NA    ,NA       ,NA             ,NA               ,"Skåne"          ,NA
"1400633086" ,"BMW"           ,"645"                ,"Bensin"              ,"Automat"   ,"2 817"   ,"2005"     ,"Cab"         ,"Tvåhjulsdriven" ,"334" ,"Grå"    ,"4398"         ,"2012-10-16"     ,"Stockholm"      ,189000
"1400632806" ,"Cupra"         ,"Born"               ,"El"                  ,"Automat"   ,"1 800"   ,"2023"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"204" ,"Grå"    ,NA             ,"2023-02-07"     ,"Värmland"       ,100000
